1234567890,,100
Plane 1,Plane 2,Plane 3,Plane 4,Plane 5,Plane 6,Plane 7,Plane 8,Plane 9,Plane 10,Plane 11,Plane 12,Plane 13,Plane 14,outlet,inlet
 1.21966248e+003, 1.36999133e+003, 9.07198303e+002, 9.12680847e+002, 1.60805103e+003, 2.12342114e+003, 2.33974731e+003, 2.22110889e+003, 1.84413330e+003, 1.46503113e+003, 9.80534058e+002, 5.82581360e+002, 2.88748718e+002, 8.56591644e+001, -1.69478863e-001, 2.68305359e+001
 4.17734033e+003, 2.18303809e+003, 8.83388733e+002, 5.55919617e+002, 1.08710010e+003, 1.66260815e+003, 2.14131812e+003, 2.37483765e+003, 2.30756885e+003, 2.07225732e+003, 1.62613062e+003, 1.12955823e+003, 6.49089417e+002, 2.11873825e+002, 1.06194969e-002, 4.21967383e+003
 4.27104883e+003, 1.96290027e+003, 8.14302490e+002, 4.68952728e+002, 6.93054443e+002, 1.07839734e+003, 1.56290405e+003, 2.00541272e+003, 2.26377734e+003, 2.27807495e+003, 2.05121216e+003, 1.60233716e+003, 1.01156842e+003, 3.43653503e+002, 2.83715744e-002, 5.55904053e+003
 2.24432764e+003, 1.17021680e+003, 7.50796570e+002, 6.05411255e+002, 5.60759277e+002, 6.63152283e+002, 9.44025879e+002, 1.34925293e+003, 1.74558142e+003, 1.94973010e+003, 1.98004456e+003, 1.70423206e+003, 1.15134570e+003, 4.05409088e+002, 2.80311611e-002, 2.98758130e+003
 -3.98103607e+002, 3.09552734e+002, 7.19015930e+002, 8.08840393e+002, 6.35790039e+002, 5.13841003e+002, 5.20398804e+002, 6.91493225e+002, 9.71289368e+002, 1.18612073e+003, 1.34259021e+003, 1.25902710e+003, 8.99059509e+002, 3.25091217e+002, 1.14956638e-002, -6.86572083e+002
 -1.98200806e+003, -2.24604340e+002, 6.81879456e+002, 9.14340332e+002, 7.51971619e+002, 5.31333740e+002, 3.19954102e+002, 1.97649506e+002, 1.91455338e+002, 2.45427399e+002, 3.34164612e+002, 3.66253632e+002, 2.85001862e+002, 1.04561813e+002, -5.04070544e-004, -2.74943970e+003
 -1.68265503e+003, -1.98783554e+002, 6.01588501e+002, 8.36803040e+002, 7.42803040e+002, 5.27198730e+002, 2.12567673e+002, -1.39344894e+002, -4.41925354e+002, -6.03186951e+002, -6.85754822e+002, -6.24742432e+002, -4.39971497e+002, -1.62292923e+002, -3.75470123e-003, -2.28390771e+003
 1.62737870e+000, 3.06489197e+002, 5.11354126e+002, 5.99621155e+002, 5.26309021e+002, 3.42225128e+002, 2.23441906e+001, -4.14023499e+002, -8.74344971e+002, -1.16919543e+003, -1.37258215e+003, -1.30679370e+003, -9.45522583e+002, -3.47062042e+002, -2.54612090e-003, -7.06708069e+001
 1.77241711e+003, 9.01394836e+002, 4.49564880e+002, 3.09645660e+002, 1.45828018e+002, -5.15382538e+001, -3.33525177e+002, -7.04686035e+002, -1.10640601e+003, -1.37003149e+003, -1.54125354e+003, -1.43752576e+003, -1.02591516e+003, -3.71579742e+002, -1.55080145e-003, 2.15502979e+003
 2.45135352e+003, 1.12838098e+003, 3.75266815e+002, 7.13724213e+001, -2.63548309e+002, -5.30885925e+002, -7.68492920e+002, -9.81372864e+002, -1.15385608e+003, -1.23643262e+003, -1.22731140e+003, -1.05258936e+003, -7.11498108e+002, -2.50009232e+002, -1.72463455e-003, 2.97868994e+003
 1.70126355e+003, 7.80387329e+002, 2.23123398e+002, -7.58953018e+001, -5.49289246e+002, -8.84628296e+002, -1.07482446e+003, -1.11118665e+003, -1.01320721e+003, -8.72536621e+002, -6.47074097e+002, -4.18214539e+002, -2.22691345e+002, -6.71766891e+001, -2.76692444e-003, 2.06258374e+003
 9.67875824e+001, 3.23132820e+001, -1.98386497e+001, -1.73127884e+002, -6.25859741e+002, -9.37009827e+002, -1.05514307e+003, -9.56840088e+002, -6.81907715e+002, -4.07141937e+002, -7.31882858e+001, 1.40223572e+002, 1.82886276e+002, 7.92429352e+001, -3.26931500e-003, 1.29222504e+002
 -1.38859558e+003, -7.08299927e+002, -3.07155701e+002, -2.94791382e+002, -5.15860046e+002, -6.56357727e+002, -6.56509277e+002, -4.93190552e+002, -2.06314987e+002, 4.26151886e+001, 3.06611237e+002, 4.20946777e+002, 3.53015869e+002, 1.35334015e+002, -2.67671933e-003, -1.64583142e+003
 4.10240234e+003, 1.83463669e+002, -2.86019135e+002, -4.13866730e+002, -2.99396881e+002, -1.69591995e+002, -1.89785442e+001, 1.46925095e+002, 3.06286682e+002, 4.01523834e+002, 4.61185944e+002, 4.27490845e+002, 3.00933929e+002, 1.08292397e+002, -2.04876694e-003, 1.37250391e+004
 8.87987891e+003, 2.89384204e+003, 3.56457214e+002, -2.82140686e+002, 7.63770008e+000, 3.34943817e+002, 5.93772766e+002, 7.23965515e+002, 7.17705383e+002, 6.36544556e+002, 4.78331360e+002, 3.08938354e+002, 1.63372528e+002, 4.91969833e+001, -1.66984845e-003, 1.09432139e+004
 5.91379102e+003, 3.93621021e+003, 1.04536096e+003, 3.77074554e+002, 5.12328613e+002, 7.76110840e+002, 9.90374756e+002, 1.04711340e+003, 9.28192505e+002, 7.46004822e+002, 4.72191895e+002, 2.34744049e+002, 8.43189240e+001, 1.65718594e+001, -1.33001816e-003, 6.09067871e+003
 -5.74088013e+002, 1.68272595e+003, 1.41284778e+003, 1.45052246e+003, 1.28013013e+003, 1.22247192e+003, 1.19619080e+003, 1.11723389e+003, 9.44627869e+002, 7.58852051e+002, 5.01910828e+002, 2.79709839e+002, 1.24530182e+002, 3.42055779e+001, -1.23058690e-003, -5.43132996e+002
 -5.43184863e+003, -9.08764587e+002, 1.74480200e+003, 2.42469385e+003, 2.12104370e+003, 1.73510315e+003, 1.38399890e+003, 1.10499475e+003, 8.84576294e+002, 7.35546753e+002, 5.63775757e+002, 3.99964783e+002, 2.40160751e+002, 8.07408829e+001, -1.05890271e-003, -6.60538428e+003
 -6.46694727e+003, -1.10966406e+003, 2.11478760e+003, 2.82631079e+003, 2.66444531e+003, 2.21307886e+003, 1.68157117e+003, 1.23318677e+003, 9.29377991e+002, 7.76603821e+002, 6.41575439e+002, 5.10248566e+002, 3.38704315e+002, 1.19875656e+002, -7.74632848e-004, -9.30452246e+003
 -3.70224902e+003, 5.01928802e+002, 2.25685938e+003, 2.62832642e+003, 2.67910547e+003, 2.44266919e+003, 2.01742590e+003, 1.55618213e+003, 1.17886414e+003, 9.61318848e+002, 7.58098816e+002, 5.78209900e+002, 3.73904114e+002, 1.30276779e+002, -6.32519601e-004, -7.09935449e+003
 6.78394470e+002, 2.10973511e+003, 2.15593237e+003, 2.11022021e+003, 2.26139429e+003, 2.30528271e+003, 2.18144971e+003, 1.90646045e+003, 1.55542529e+003, 1.27425110e+003, 9.44340454e+002, 6.50368530e+002, 3.81963440e+002, 1.26157394e+002, -5.27676078e-004, -1.58293774e+003
 3.65281299e+003, 2.75347534e+003, 1.91527502e+003, 1.59333411e+003, 1.70867517e+003, 1.89742505e+003, 2.04083923e+003, 2.03071643e+003, 1.83373511e+003, 1.57337427e+003, 1.17986670e+003, 7.85886719e+002, 4.37630676e+002, 1.39297882e+002, -2.69679527e-004, 2.83450342e+003
 4.53080078e+003, 2.53833667e+003, 1.59968872e+003, 1.23473218e+003, 1.26636182e+003, 1.42858740e+003, 1.65086255e+003, 1.81208386e+003, 1.80952075e+003, 1.66701880e+003, 1.35261060e+003, 9.59384705e+002, 5.59548279e+002, 1.83011948e+002, 1.04065221e-004, 5.84624316e+003
 3.49874780e+003, 1.89919739e+003, 1.29921960e+003, 1.04174011e+003, 1.00320477e+003, 1.04982458e+003, 1.17753516e+003, 1.33961279e+003, 1.45099707e+003, 1.44738953e+003, 1.31225464e+003, 1.03604626e+003, 6.59744812e+002, 2.26761490e+002, 4.20296390e-004, 4.59883643e+003
 1.22063489e+003, 1.08800842e+003, 1.03736487e+003, 9.41165039e+002, 8.58343811e+002, 7.91048889e+002, 7.64307007e+002, 8.05865967e+002, 8.99717712e+002, 9.63352417e+002, 9.82736877e+002, 8.67330444e+002, 6.00082642e+002, 2.14612656e+002, 2.59057124e-004, 1.25028699e+003
 -9.17753357e+002, 2.51288193e+002, 7.65305115e+002, 8.18966492e+002, 7.25374695e+002, 5.93955261e+002, 4.53191620e+002, 3.57317352e+002, 3.40664001e+002, 3.69017700e+002, 4.24688873e+002, 4.22804382e+002, 3.15972504e+002, 1.15643257e+002, -4.75850829e-004, -1.48138208e+003
 -1.72165845e+003, -2.90663544e+002, 4.56750122e+002, 5.85233398e+002, 5.16850647e+002, 3.83058136e+002, 2.05907440e+002, 2.58385658e+001, -1.11854462e+002, -1.76803558e+002, -1.89948746e+002, -1.56946411e+002, -1.03798241e+002, -3.92665520e+001, -8.54885264e-004, -2.31356665e+003
 -1.08588232e+003, -3.52244232e+002, 1.30099838e+002, 2.14949554e+002, 1.85451599e+002, 9.32922287e+001, -5.63592148e+001, -2.47546875e+002, -4.47548615e+002, -5.84455872e+002, -6.75304138e+002, -6.42602417e+002, -4.68685944e+002, -1.74410950e+002, -9.43965570e-004, -1.35790930e+003
 1.75148804e+002, -7.08855972e+001, -1.57358246e+002, -2.36308090e+002, -2.51472427e+002, -2.97384064e+002, -3.90369171e+002, -5.31074829e+002, -7.00812622e+002, -8.29570251e+002, -9.14307434e+002, -8.55882568e+002, -6.17153564e+002, -2.25550797e+002, -6.66192209e-004, 3.16926727e+002
 1.01632709e+003, 9.70842972e+001, -4.26308350e+002, -6.69192627e+002, -7.23557922e+002, -7.54026855e+002, -7.90997253e+002, -8.41958984e+002, -8.96030884e+002, -9.28612183e+002, -9.01771729e+002, -7.72591736e+002, -5.24433838e+002, -1.84711060e+002, -4.17561532e-004, 1.38693616e+003
 7.96997070e+002, -1.44017899e+002, -7.11110596e+002, -1.00993567e+003, -1.13017590e+003, -1.17910352e+003, -1.17459875e+003, -1.12160193e+003, -1.01906769e+003, -9.11974426e+002, -7.27080627e+002, -5.16855957e+002, -3.01612000e+002, -9.65644913e+001, -5.24442119e-004, 1.16717639e+003
 -3.79778290e+002, -7.91223938e+002, -1.04381360e+003, -1.26067102e+003, -1.40664844e+003, -1.46727563e+003, -1.42875647e+003, -1.28376477e+003, -1.04611316e+003, -8.26595459e+002, -5.26511414e+002, -2.73934357e+002, -1.06978561e+002, -2.40252819e+001, -8.50972778e-004, -2.03653198e+002
 -1.84677637e+003, -1.57134839e+003, -1.40224792e+003, -1.47527356e+003, -1.55013062e+003, -1.56376184e+003, -1.47702161e+003, -1.27440100e+003, -9.79431213e+002, -7.25919250e+002, -4.11068878e+002, -1.74798920e+002, -4.46662331e+001, -3.98239756e+000, -1.23463164e-003, -1.93997449e+003
 2.61778662e+003, -9.99772705e+002, -1.47192761e+003, -1.64833667e+003, -1.58573120e+003, -1.48745667e+003, -1.33144861e+003, -1.11233862e+003, -8.50960632e+002, -6.48815247e+002, -4.11371765e+002, -2.32337952e+002, -1.13099579e+002, -3.35149231e+001, -1.65215810e-003, 1.14220947e+004
 6.20869727e+003, 1.12732495e+003, -1.00071759e+003, -1.60168530e+003, -1.49045728e+003, -1.30286548e+003, -1.09387878e+003, -8.94671265e+002, -7.21122131e+002, -6.11285828e+002, -4.84178955e+002, -3.64803864e+002, -2.33367706e+002, -8.17537155e+001, -1.78700837e-003, 7.68748779e+003
 2.99553223e+003, 1.77113708e+003, -5.03879395e+002, -1.12713574e+003, -1.15272485e+003, -1.02215973e+003, -8.52206482e+002, -7.15084595e+002, -6.32416870e+002, -5.98174438e+002, -5.48671448e+002, -4.62293793e+002, -3.14865570e+002, -1.12734070e+002, -1.88412669e-003, 2.50162085e+003
 -2.94234863e+003, -4.12290436e+002, -3.42308563e+002, -3.38983856e+002, -5.27724487e+002, -5.96630432e+002, -5.93376587e+002, -5.74526001e+002, -5.68216492e+002, -5.68520569e+002, -5.39208496e+002, -4.56110992e+002, -3.08154022e+002, -1.08776917e+002, -2.07646610e-003, -3.59467114e+003
 -6.97411572e+003, -2.76985303e+003, -2.64345642e+002, 3.25806396e+002, 1.80957214e+002, -4.49859962e+001, -2.46036270e+002, -3.83078186e+002, -4.52677673e+002, -4.67716492e+002, -4.30604431e+002, -3.45216248e+002, -2.21710083e+002, -7.60387192e+001, -2.37773848e-003, -8.45581543e+003
 -7.39586279e+003, -2.93195288e+003, -1.49465027e+002, 4.92330780e+002, 6.14780396e+002, 4.58564423e+002, 1.94646393e+002, -4.36769905e+001, -1.88247513e+002, -2.34259705e+002, -2.19429779e+002, -1.63297531e+002, -9.52686462e+001, -3.05000153e+001, -2.50194501e-003, -9.87116992e+003
 -4.55395703e+003, -1.46760059e+003, -1.65881287e+002, 1.77069427e+002, 5.64776794e+002, 6.76401367e+002, 5.86218262e+002, 4.06367950e+002, 2.40596878e+002, 1.49254044e+002, 8.98477173e+001, 6.31118584e+001, 4.31084518e+001, 1.58084412e+001, -2.55755149e-003, -7.05403760e+003
 -5.75754700e+002, -2.62694035e+001, -2.84297821e+002, -3.35775940e+002, 1.40629120e+002, 5.15667664e+002, 7.31399414e+002, 7.77212158e+002, 7.04368652e+002, 6.02310913e+002, 4.61836029e+002, 3.23185303e+002, 1.91690109e+002, 6.36280594e+001, -2.34569586e-003, -1.94855713e+003
 1.85232947e+003, 5.16966553e+002, -4.60557404e+002, -7.57524353e+002, -3.62177704e+002, 1.07335457e+002, 5.54367554e+002, 8.62246948e+002, 9.80179504e+002, 9.46019470e+002, 7.98195313e+002, 5.84290955e+002, 3.50466705e+002, 1.16413849e+002, -1.95215584e-003, 1.57275867e+003
 2.07338403e+003, 2.21103989e+002, -6.74699158e+002, -9.63497803e+002, -7.06314392e+002, -3.18292236e+002, 1.58387604e+002, 6.02714172e+002, 9.02082886e+002, 9.93072815e+002, 9.45178711e+002, 7.52981934e+002, 4.77196106e+002, 1.62773361e+002, -1.48286903e-003, 3.17993555e+003
 5.85347900e+002, -4.70477264e+002, -8.54069397e+002, -9.83169006e+002, -8.33980225e+002, -6.06426575e+002, -2.72990631e+002, 1.18970123e+002, 4.76797058e+002, 6.70346497e+002, 7.72283264e+002, 6.98296265e+002, 4.80153290e+002, 1.70201187e+002, -1.27117510e-003, 1.32981641e+003
 -1.58169287e+003, -1.20461780e+003, -9.75828430e+002, -9.24438232e+002, -8.30783630e+002, -7.46204956e+002, -6.12911682e+002, -4.02763245e+002, -1.35883148e+002, 6.77752380e+001, 2.69102203e+002, 3.43807861e+002, 2.78033905e+002, 1.04671547e+002, -1.55227538e-003, -1.74073096e+003
 -3.09361060e+003, -1.74519287e+003, -1.08382007e+003, -9.10830383e+002, -8.33220276e+002, -8.31651245e+002, -8.51891052e+002, -8.33864258e+002, -7.40130737e+002, -6.19758057e+002, -4.27033478e+002, -2.45550461e+002, -1.14973000e+002, -3.38477707e+001, -2.44401302e-003, -3.69912769e+003
 -3.14044531e+003, -1.87915479e+003, -1.20552771e+003, -1.01214014e+003, -9.38657593e+002, -9.61688171e+002, -1.04778723e+003, -1.15455005e+003, -1.21722095e+003, -1.20611328e+003, -1.08953699e+003, -8.66873779e+002, -5.59171021e+002, -1.95752808e+002, -2.63833813e-003, -3.66641040e+003
 -1.97844934e+003, -1.58366895e+003, -1.32009753e+003, -1.22763330e+003, -1.17591382e+003, -1.19535095e+003, -1.27558301e+003, -1.40535205e+003, -1.53027466e+003, -1.57832983e+003, -1.51742456e+003, -1.28328857e+003, -8.66192993e+002, -3.07196716e+002, -2.99618510e-003, -2.09835303e+003
 -5.71214722e+002, -1.12442639e+003, -1.39647876e+003, -1.47924670e+003, -1.49137000e+003, -1.51469629e+003, -1.55721350e+003, -1.62368481e+003, -1.68770532e+003, -1.70180872e+003, -1.61275940e+003, -1.35654932e+003, -9.13445251e+002, -3.22435425e+002, -4.02080873e-003, -3.18691406e+002
 1.12047989e+002, -8.89730591e+002, -1.45887244e+003, -1.67712744e+003, -1.78198413e+003, -1.83009436e+003, -1.82980945e+003, -1.78887402e+003, -1.70697180e+003, -1.60808057e+003, -1.41021313e+003, -1.11494446e+003, -7.19518921e+002, -2.47936417e+002, -7.63083482e-003, 5.13964783e+002
 -3.04753754e+002, -1.08468921e+003, -1.55839478e+003, -1.77721606e+003, -1.94542749e+003, -2.01565259e+003, -1.97553064e+003, -1.82770850e+003, -1.59027197e+003, -1.36412488e+003, -1.04436255e+003, -7.22012878e+002, -4.19070221e+002, -1.35861099e+002, -2.00303465e-001, 4.16459036e+000
 -1.46938684e+003, -1.61570874e+003, -1.70930225e+003, -1.80109265e+003, -1.93420789e+003, -1.97772510e+003, -1.89256677e+003, -1.67147839e+003, -1.34160083e+003, -1.04767090e+003, -6.75623108e+002, -3.71118958e+002, -1.64689728e+002, -4.57842598e+001, -4.23751712e-001, -1.40853540e+003
 -2.63737256e+003, -2.15778125e+003, -1.86802588e+003, -1.80969983e+003, -1.77957117e+003, -1.71438770e+003, -1.56405334e+003, -1.31702661e+003, -9.95528015e+002, -7.29278625e+002, -4.11535614e+002, -1.78159882e+002, -4.83762741e+001, -6.81033087e+000, -4.36650753e-001, -2.81575635e+003
 2.95212915e+003, -1.13464990e+003, -1.69510388e+003, -1.78248193e+003, -1.54800659e+003, -1.32107141e+003, -1.08898499e+003, -8.53586853e+002, -6.21028748e+002, -4.54849884e+002, -2.72440186e+002, -1.40741058e+002, -5.98105354e+001, -1.65457420e+001, -4.38749731e-001, 1.26417881e+004
 7.66246338e+003, 1.66349243e+003, -8.87375366e+002, -1.48515491e+003, -1.22088452e+003, -9.07726624e+002, -6.29110657e+002, -4.26937866e+002, -3.02246918e+002, -2.47848495e+002, -2.08030243e+002, -1.71396896e+002, -1.16552017e+002, -4.33143883e+001, -6.13379717e-001, 9.76831934e+003
