1234567890,,100
通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16
74.127,101.25,109.795,101.879,101.765,109.127,116.013,106.876,103.634,132.988,109.108,110.882,108.326,113.342,3.899,4.204
107.487,92.59,110.31,109.299,107.601,104.454,110.901,107.792,99.247,114.887,133.35,97.111,108.746,112.35,8.343,5.672
106.037,117.558,109.795,126.732,101.498,111.511,112.389,107.391,102.699,112.293,108.593,109.203,116.985,128.029,0.999,8.82
114.048,113.113,106.953,117.176,94.536,127.533,109.642,105.961,104.053,114.124,108.555,105.846,107.716,106.552,2.659,5.577
104.168,115.04,100.563,112.331,116.89,109.337,116.718,112.007,104.721,110.634,105.694,106.19,105.999,105.865,1.839,10.021
94.288,117.31,113.8,106.667,104.988,110.367,120.838,108.898,104.397,114.716,108.688,107.41,106.285,104.626,1.896,-0.107
117.558,108.116,105.141,110.367,108.784,105.064,114.296,108.135,106.972,116.756,107.506,114.01,114.315,115.993,14.923,1.705
105.732,108.669,111.511,110.31,97.931,104.549,115.078,107.677,102.928,119.598,113.209,108.173,115.536,118.702,0.427,3.574
103.958,112.141,100.811,108.25,108.135,106.495,110.1,111.568,106.609,120.266,113.686,112.083,115.116,114.391,4.147,11.127
95.47,106.38,106.075,106.857,100.754,109.756,117.462,109.375,111.187,120.247,109.337,109.68,112.293,113.647,7.198,0.504
106.647,104.626,101.803,104.549,110.519,107.086,117.996,106.724,110.653,116.795,112.77,113.266,111.588,113.686,8.686,4.833
105.389,107.487,111.473,96.481,110.195,105.808,110.901,104.664,107.258,117.462,109.318,110.977,111.759,111.912,4.967,2.697
119.846,106.991,105.637,122.784,100.925,104.721,111.645,104.454,102.051,116.032,106.075,108.688,107.43,108.402,10.269,-1.938
111.397,124.901,106.152,114.468,105.083,110.138,113.152,106.018,102.757,114.086,105.312,103.252,105.141,105.713,-3.101,15.305
108.116,109.814,109.604,118.187,110.138,112.331,118.759,110.157,105.598,112.579,101.669,103.233,103.825,102.165,1.228,4.776
104.511,115.002,104.74,109.68,112.026,113.018,113.914,109.07,109.432,112.16,98.675,114.925,107.887,111.969,3.098,7.694
110.252,103.214,110.577,108.784,102.795,104.626,111.588,107.811,109.489,114.201,111.95,114.143,116.852,118.664,4.967,0.732
